,0,1,2,3
1010,mystery,тайна,[ˈmɪstri],[ˈmɪstri]
1011,shy,застенчивый,[ʃaɪ],[ʃaɪ]
1012,evening,"вечер, вечеринка, закат жизни",[ˈiːvnɪŋ],[ˈiːvnɪŋ]
1013,unlike,"в отличие от, непохожий на, не такой как, в отличие",[ˌʌnˈlaɪk],[ˌʌnˈlaɪk]
1014,demand,"требовать, нуждаться, спрашивать, потребность",[dɪˈmɑːnd],[dɪˈmænd]
1015,stealth,скрытность,[stelθ],[stelθ]
1016,economist,экономист,[ɪˈkɒn.ə.mɪst],[-ˈkɑː.nə-]
1017,pathetic,жалкий,[pəˈθet.ɪk],[-ˈθet̬-]
1018,limit,предел,[ˈlɪmɪt],[ˈlɪmɪt]
1019,rain,"дождь, град, поток",[reɪn],[reɪn]
1020,livestock,скот,[ˈlaɪv.stɒk],[-stɑːk]
1021,junior,"младший, юношеский, подчиненный",[ˈdʒuːniə(r)],[ˈdʒuːniər]
1022,stale,несвежий,[steɪl],[steɪl]
1023,emotion,"эмоция, чувство, волнение",[ɪˈməʊʃn],[ɪˈmoʊʃn]
1024,porch,крыльцо,[pɔːtʃ],[pɔːrtʃ]
1025,eminent,выдающийся,[ˈem.ɪ.nənt],[ˈem.ɪ.nənt]
1026,activity,деятельность,[ækˈtɪvəti],[ækˈtɪvəti]
1027,fool,"дурак, глупец, дура",[fuːl],[fuːl]
1028,sufficient,достаточно,[səˈfɪʃnt],[səˈfɪʃnt]
1029,flag,флаг,[flæɡ],[flæɡ]
1030,correspond,"соответствовать, переписываться, согласовываться",[ˌkɒr.ɪˈspɒnd],[ˌkɔːr.ɪˈspɑːnd]
1031,parrot,попугай,[ˈpær.ət],[ˈper-]
1032,condemn,"осуждать, обречь, порицать",[kənˈdem],[kənˈdem]
1033,palm,"ладонь, пальма, пальмовое дерево, Пальма",[pɑːm],[pɑːm]
1034,undergo,пройти,[ˌʌn.dəˈɡəʊ],[-dɚˈɡoʊ]
1035,greet,"приветствовать, встречать, здороваться",[ɡriːt],[ɡriːt]
1036,efficiency,"эффективность, производительность, оперативность",[ɪˈfɪʃ.ən.si],[ɪˈfɪʃ.ən.si]
1037,bag,сумка,[bæɡ],[bæɡ]
1038,pet,домашнее животное,[pet],[pet]
1039,rot,"гнить, сгнить, загнивать",[rɒt],[rɑːt]
1040,wink,"подмигивание, миг, моргание, подмигивать",[wɪŋk],[wɪŋk]
1041,totally,"полностью, абсолютно",[ˈtəʊtəli],[ˈtoʊtəli]
1042,quarry,карьер,[ˈkwɒr.i],[ˈkwɔːr-]
1043,nice,отлично,[naɪs],[naɪs]
1044,accelerate,ускоряться,[əkˈsel.ə.reɪt],[-ɚ.eɪt]
1045,defendant,"ответчик, подсудимый, обвиняемый",[dɪˈfen.dənt],[dɪˈfen.dənt]
1046,rich,"богатые, богатство, богачи, богатый",[rɪtʃ],[rɪtʃ]
1047,superior,высший,[suːˈpɪəriə(r)],[sjuːˈpɪəriə(r)]
1048,habit,"привычка, габитус, обыкновение",[ˈhæbɪt],[ˈhæbɪt]
1049,force,сила,[fɔːs],[fɔːrs]
1050,foremost,"прежде всего, в первую очередь, на первом месте, самый главный",[ˈfɔː.məʊst],[ˈfɔːr.moʊst]
1051,border,граница,[ˈbɔːdə(r)],[ˈbɔːrdər]
1052,alarm,аварийная сигнализация,[əˈlɑːm],[əˈlɑːrm]
1053,friendly,дружелюбный,[ˈfrendli],[ˈfrendli]
1054,reward,награда,[rɪˈwɔːd],[rɪˈwɔːrd]
1055,flea,блоха,[fliː],[fliː]
1056,their,"их, свои, свой",[ðeə(r)],[ðer]
1057,ferry,"паром, переправа, перевоз",[ˈfer.i],[ˈfer.i]
1058,resist,сопротивляться,[rɪˈzɪst],[rɪˈzɪst]
1059,telescope,"телескоп, оптическая подзорная труба, сжимать",[ˈtel.ɪ.skəʊp],[-ə.skoʊp]
1060,reed,"тростник, камыш, свирель",[riːd],[riːd]
1061,nude,"голый, нагой, обнаженный, ню",[njuːd],[nuːd]
1062,seep,просачиваться,[siːp],[siːp]
1063,personal,"личный, персональный, субъективный",[ˈpɜːsənl],[ˈpɜːrsənl]
1064,proponent,сторонник,[prəˈpəʊ.nənt],[-ˈpoʊ-]
1065,tap,"кран, отвод, ответвление, нажмите",[tæp],[tæp]
1066,heave,"бросать, вздыматься, тужиться, поднимать",[hiːv],[hiːv]
1067,lad,"парень, мальчик, юноша",[læd],[læd]
1068,surprisingly,как ни странно,[səˈpraɪ.zɪŋ.li],[sɚ-]
1069,ass,"жопа, задница, зад",[æs],[æs]
1070,hen,курица,[hen],[hen]
1071,weekly,еженедельно,[ˈwiː.kli],[ˈwiː.kli]
1072,hello,"здороваться, звать, окликать, Здравствуйте",[həˈləʊ],[həˈloʊ]
1073,evade,"уклоняться, увернуться, избегать",[ɪˈveɪd],[ɪˈveɪd]
1074,hoop,"обруч, кольцо, обод",[huːp],[huːp]
1075,overtake,догнать,[ˌəʊ.vəˈteɪk],[ˌoʊ.vɚ-]
1076,assistant,помощник,[əˈsɪstənt],[əˈsɪstənt]
1077,variation,вариация,[ˌveəriˈeɪʃn],[ˌveriˈeɪʃn]
1078,affection,"привязанность, любовь, склонность",[əˈfekʃn],[əˈfekʃn]
1079,ought,"должен, долг, обязанность",[ɔːt],[ɑːt]
1080,fungus,"гриб, грибок, плесень",[ˈfʌŋ.ɡəs],[-ɡaɪ]
1081,practice,практика,[ˈpræktɪs],[ˈpræktɪs]
1082,zoo,зоопарк,[zuː],[zuː]
1083,wise,мудрый,[waɪz],[waɪz]
1084,intellectual,интеллектуальный,[ˌɪn.təlˈek.tju.əl],[-t̬əlˈek.tʃu-]
1085,weekend,"уик-энд, конец недели, выходные",[ˌwiːkˈend],[ˈwiːkend]
1086,too,тоже,[tuː],[tuː]
1087,hospitality,"гостеприимство, радушие, гостеприимность",[ˌhɒs.pɪˈtæl.ə.ti],[ˌhɑː.spɪˈtæl.ə.t̬i]
1088,busy,занятый,[ˈbɪzi],[ˈbɪzi]
1089,lean,опираться,[liːn],[liːn]
1090,blur,размытие,[blɜːr],[blɝː]
1091,immediately,немедленно,[ɪˈmiːdiətli],[ɪˈmiːdiətli]
1092,facial,"лицевой, массаж лица, лица",[ˈfeɪ.ʃəl],[ˈfeɪ.ʃəl]
1093,submit,"подавать, подчиняться, покорять, Разместить",[səbˈmɪt],[səbˈmɪt]
1094,enrich,обогащать,[ɪnˈrɪtʃ],[ɪnˈrɪtʃ]
1095,detail,деталь,[ˈdiːteɪl],[ˈdiːteɪl]
1096,way,"способ, путь, дорога",[weɪ],[weɪ]
1097,bulk,"масса, объем, основная масса",[bʌlk],[bʌlk]
1098,vase,ваза,[vɑːz],[veɪs]
1099,appearance,"появление, внешний вид, вид, внешность",[əˈpɪərəns],[əˈpɪrəns]
1100,decrease,уменьшение,[ˈdiːkriːs],[ˈdiːkriːs]
1101,lame,ламе,[leɪm],[leɪm]
1102,nasty,"неприятный, противный, скверный",[ˈnɑː.sti],[ˈnæs.ti]
1103,seem,кажется,[siːm],[siːm]
1104,ship,судно,[ʃɪp],[ʃɪp]
1105,bounce,подпрыгивать,[baʊns],[baʊns]
1106,game,игра,[ɡeɪm],[ɡeɪm]
1107,umbrella,"зонтик, зонт, прикрытие",[ʌmˈbrelə],[ʌmˈbrelə]
1108,flare,"вспышка, клеш, сигнальная ракета",[fleər],[fler]
1109,maybe,может быть,[ˈmeɪbi],[ˈmeɪbi]
1110,drawback,недостаток,[ˈdrɔː.bæk],[ˈdrɑː-]
1111,premature,преждевременный,[ˈprem.ə.tʃər],[-tjʊər]
1112,team,команда,[tiːm],[tiːm]
1113,prick,укол,[prɪk],[prɪk]
1114,cinema,"кино, кинотеатр, кинематограф",[ˈsɪnəmə],[ˈsɪnəmə]
1115,commend,хвалить,[kəˈmend],[kəˈmend]
1116,theme,тема,[θiːm],[θiːm]
1117,thus,таким образом,[ðʌs],[ðʌs]
1118,inflict,"налагать, навязывать, накладывать, нанести",[ɪnˈflɪkt],[ɪnˈflɪkt]
1119,poverty,бедность,[ˈpɒv.ə.ti],[ˈpɑː.vɚ.t̬i]
1120,awful,ужасно,[ˈɔːfl],[ˈɔːfl]
1121,atrocity,зверство,[əˈtrɒs.ɪ.ti],[-ˈtrɑː.sɪ.t̬i]
1122,always,всегда,[ˈɔːlweɪz],[ˈɔːlweɪz]
1123,rim,обод,[rɪm],[rɪm]
1124,studio,студия,[ˈstjuːdiəʊ],[ˈstuːdioʊ]
1125,expect,"ожидать, рассчитывать, ждать",[ɪkˈspekt],[ɪkˈspekt]
1126,surround,"окружить, окружать, осаждать",[səˈraʊnd],[səˈraʊnd]
1127,exclude,исключить,[ɪkˈskluːd],[ɪkˈskluːd]
1128,swoop,налетать,[swuːp],[swuːp]
1129,disgust,"отвращение, омерзение, брезгливость",[dɪsˈɡʌst],[dɪsˈɡʌst]
1130,ally,"союзник, помощник, пособник",[ˈælaɪ],[ˈælaɪ]
1131,suspect,"подозревать, полагать, предполагать, подозреваемый",[səˈspekt],[səˈspekt]
1132,membership,членство,[ˈmembəʃɪp],[ˈmembərʃɪp]
1133,enterprise,предприятие,[ˈen.tə.praɪz],[-t̬ɚ-]
1134,competitor,конкурент,[kəmˈpet.ɪ.tər],[-ˈpet̬.ɪ.t̬ɚ]
1135,waive,"отказываться, поступаться, временно откладывать, отказаться",[weɪv],[weɪv]
1136,red,"красный, рыжий, алый",[red],[red]
1137,intend,намереваться,[ɪnˈtend],[ɪnˈtend]
1138,diligent,"прилежный, старательный, усердный",[ˈdɪl.ɪ.dʒənt],[ˈdɪl.ɪ.dʒənt]
1139,planning,планирование,[ˈplænɪŋ],[ˈplænɪŋ]
1140,illustrate,иллюстрировать,[ˈɪləstreɪt],[ˈɪləstreɪt]
1141,tree,дерево,[triː],[triː]
1142,such,такой,[sʌtʃ],[sʌtʃ]
1143,scholar,ученый,[ˈskɒl.ər],[ˈskɑː.lɚ]
1144,handy,"удобный, портативный, ловкий",[ˈhæn.di],[ˈhæn.di]
1145,parsley,петрушка,[ˈpɑː.sli],[ˈpɑːr-]
1146,author,автор,[ˈɔːθə(r)],[ˈɔːθər]
1147,absolutely,абсолютно,[ˈæbsəluːtli],[ˈæbsəluːtli]
1148,interim,промежуточный,[ˈɪn.tər.ɪm],[-t̬ɚ-]
1149,countryside,сельская местность,[ˈkʌntrisaɪd],[ˈkʌntrisaɪd]
1150,tired,усталый,[ˈtaɪəd],[ˈtaɪərd]
1151,particular,"особый, частный, специфический, частности",[pəˈtɪkjələ(r)],[pərˈtɪkjələr]
1152,weird,"странный, непонятный, сверхъестественный, странно",[wɪəd],[wɪrd]
1153,inch,дюйм,[ɪntʃ],[ɪntʃ]
1154,tape,лента,[teɪp],[teɪp]
1155,abortion,аборт,[əˈbɔː.ʃən],[-ˈbɔːr-]
1156,menace,угроза,[ˈmen.ɪs],[ˈmen.ɪs]
1157,fun,"забава, веселье, потеха",[fʌn],[fʌn]
1158,plunge,"погружение, ныряние, погружаться, окунуться",[plʌndʒ],[plʌndʒ]
1159,soon,"скоро, вскоре, быстро",[suːn],[suːn]
1160,court,суд,[kɔːt],[kɔːrt]
1161,detailed,подробный,[ˈdiːteɪld],[ˈdiːteɪld]
1162,underpants,Трусы,[ˈʌn.də.pænts],[-dɚ-]
1163,hard,жесткий,[hɑːd],[hɑːrd]
1164,recollection,"воспоминание, память, сосредоточенность",[ˌrek.əˈlek.ʃən],[ˌrek.əˈlek.ʃən]
1165,underwear,нижнее белье,[ˈʌndəweə(r)],[ˈʌndərwer]
1166,harsh,суровый,[hɑːʃ],[hɑːrʃ]
1167,nightmare,"кошмар, ужас, страшный сон, ночной кошмар",[ˈnaɪt.meər],[-mer]
1168,superficial,поверхностный,[ˌsuː.pəˈfɪʃ.əl],[-pɚ-]
1169,pitch,подача,[pɪtʃ],[pɪtʃ]
1170,wedge,"клин, линейчатый клин, что-либо в форме клина",[wedʒ],[wedʒ]
1171,league,лига,[liːɡ],[liːɡ]
1172,save,"сохранять, экономить, спасать, спасти",[seɪv],[seɪv]
1173,watchful,бдительный,[ˈwɒtʃ.fəl],[ˈwɑːtʃ-]
1174,sunset,"закат, заход солнца, вечерняя заря, закат солнца",[ˈsʌn.set],[ˈsʌn.set]
1175,where,где,[weə(r)],[wer]
1176,pillow,"подушка, подкладка, вкладыш",[ˈpɪl.əʊ],[-oʊ]
1177,wedding,"свадьба, венчание, бракосочетание",[ˈwedɪŋ],[ˈwedɪŋ]
1178,offend,оскорблять,[əˈfend],[əˈfend]
1179,submerge,погружать,[səbˈmɜːdʒ],[-ˈmɝːdʒ]
1180,shoulder,"плечо, уступ, буртик",[ˈʃəʊldə(r)],[ˈʃoʊldər]
1181,hinder,мешать,[ˈhɪn.dər],[-dɚ]
1182,blatant,"вопиющий, явный, крикливый",[ˈbleɪ.tənt],[ˈbleɪ.tənt]
1183,prod,толкать,[prɒd],[prɑːd]
1184,remainder,"остаток, остатки, последующее имущественное право",[rɪˈmeɪn.dər],[-dɚ]
1185,resource,"ресурс, средство, возможность",[rɪˈsɔːs],[rɪˈzɔːs]
1186,squad,"отряд, команда, отделение",[skwɒd],[skwɑːd]
1187,budget,"бюджет, финансовая смета, запас",[ˈbʌdʒɪt],[ˈbʌdʒɪt]
1188,serious,"серьезный, важный, нешуточный",[ˈsɪəriəs],[ˈsɪriəs]
1189,sell,"продавать, продаваться, торговать",[sel],[sel]
1190,stiff,жесткий,[stɪf],[stɪf]
1191,clash,"столкновение, конфликт, лязг",[klæʃ],[klæʃ]
1192,technique,техника,[tekˈniːk],[tekˈniːk]
1193,prudent,расчетливый,[ˈpruː.dənt],[ˈpruː.dənt]
1194,merge,слияние,[mɜːdʒ],[mɝːdʒ]
1195,brass,"латунь, медь, начальство",[brɑːs],[bræs]
1196,deploy,развернуть,[dɪˈplɔɪ],[dɪˈplɔɪ]
1197,ambulance,скорая помощь,[ˈæmbjələns],[ˈæmbjələns]
1198,reverse,обеспечить регресс,[rɪˈvɜːs],[rɪˈvɜːrs]
1199,martyr,мученик,[ˈmɑː.tər],[ˈmɑːr.t̬ɚ]
1200,torch,"факел, горелка, светоч",[tɔːtʃ],[tɔːrtʃ]
1201,rubbish,"мусор, хлам, чушь",[ˈrʌbɪʃ],[ˈrʌbɪʃ]
1202,felon,"панариций, преступник, уголовный преступник, уголовник",[ˈfel.ən],[ˈfel.ən]
1203,patrol,патруль,[pəˈtrəʊl],[-ˈtroʊl]
1204,inventory,инвентарь,[ˈɪn.vən.tər.i],[-tɔːr.i]
1205,grape,виноград,[ɡreɪp],[ɡreɪp]
1206,grid,сетка,[ɡrɪd],[ɡrɪd]
1207,plague,"чума, бедствие, мор",[pleɪɡ],[pleɪɡ]
1208,archive,архив,[ˈɑː.kaɪv],[ˈɑːr-]
1209,rattle,погремушка,[ˈræt.l̩],[ˈræt̬-]
1210,left,слева,[left],[left]
1211,lettuce,салат,[ˈlet.ɪs],[ˈlet̬-]
1212,dispatch,"отправка, отправление, отсылка",[dɪˈspætʃ],[dɪˈspætʃ]
1213,legacy,"наследие, наследство",[ˈleɡ.ə.si],[ˈleɡ.ə.si]
1214,hound,гончая,[haʊnd],[haʊnd]
1215,swear,клянусь,[sweə(r)],[swer]
1216,probable,вероятный,[ˈprɒbəbl],[ˈprɑːbəbl]
1217,key,"ключ, клавиша, кнопка",[kiː],[kiː]
1218,wardrobe,гардероб,[ˈwɔː.drəʊb],[ˈwɔːr.droʊb]
1219,rid,избавляться,[rɪd],[rɪd]
1220,application,"приложение, применение, заявка",[ˌæplɪˈkeɪʃn],[ˌæplɪˈkeɪʃn]
1221,tranquil,спокойный,[ˈtræŋ.kwɪl],[ˈtræn-]
1222,lake,озеро,[leɪk],[leɪk]
1223,emphasis,акцент,[ˈemfəsɪs],[ˈemfəsɪs]
1224,grievance,жалоба,[ˈɡriː.vəns],[ˈɡriː.vəns]
1225,temporary,"временный, переходящий, временный рабочий или служащий",[ˈtemprəri],[ˈtempəreri]
1226,salient,"выступ, клин, выступающий, выдающийся",[ˈseɪ.li.ənt],[ˈseɪ.li.ənt]
1227,enable,включить,[ɪˈneɪbl],[ɪˈneɪbl]
1228,grudge,недовольство,[ɡrʌdʒ],[ɡrʌdʒ]
1229,horn,рог,[hɔːn],[hɔːrn]
1230,plight,"положение, состояние, обязательство, тяжелое положение",[plaɪt],[plaɪt]
1231,goal,Цель,[ɡəʊl],[ɡoʊl]
1232,grate,"решетка, колосниковая решетка, камин, натереть",[ɡreɪt],[ɡreɪt]
1233,kneel,стоять на коленях,[niːl],[niːl]
1234,medicine,"медицина, лекарство, медикамент",[ˈmedsn],[ˈmedsn]
1235,heart,сердце,[hɑːt],[hɑːrt]
1236,resurrect,воскресить,[ˌrez.ərˈekt],[-əˈrekt]
1237,clinical,клинический,[ˈklɪn.ɪ.kəl],[ˈklɪn.ɪ.kəl]
1238,cope,справиться,[kəʊp],[koʊp]
1239,success,"успех, удача, человек, пользующийся успехом",[səkˈses],[səkˈses]
1240,prospect,перспектива,[ˈprɒspekt],[ˈprɑːspekt]
1241,offense,преступление,[əˈfens],[əˈfens]
1242,blouse,"блуза, блузка, кофточка",[blaʊz],[blaʊs]
1243,killer,убийца,[ˈkɪl.ər],[-ɚ]
1244,cringe,съеживаться,[krɪndʒ],[krɪndʒ]
1245,hurdle,препятствие,[ˈhɜː.dl̩],[ˈhɝː-]
1246,ramp,"скат, трап, аппарель, пандус",[ræmp],[ræmp]
1247,lump,ком,[lʌmp],[lʌmp]
1248,satisfaction,удовлетворение,[ˌsætɪsˈfækʃn],[ˌsætɪsˈfækʃn]
1249,custom,"обычай, привычка, заказы",[ˈkʌstəm],[ˈkʌstəm]
1250,stew,тушить,[stjuː],[stuː]
1251,plural,множественное число,[ˈplʊə.rəl],[ˈplʊr.əl]
1252,responsibility,обязанность,[rɪˌspɒnsəˈbɪləti],[rɪˌspɑːnsəˈbɪləti]
1253,rent,арендная плата,[rent],[rent]
1254,atmosphere,"атмосфера, обстановка, воздух",[ˈætməsfɪə(r)],[ˈætməsfɪr]
1255,prompt,незамедлительный,[prɒmpt],[prɑːmpt]
1256,flutter,трепетать,[ˈflʌt.ər],[ˈflʌt̬.ɚ]
1257,single,"одинокий, один, единый, не замужем",[ˈsɪŋɡl],[ˈsɪŋɡl]
1258,itch,"зуд, чесотка, жажда",[ɪtʃ],[ɪtʃ]
1259,enjoy,"наслаждаться, пользоваться, обладать",[ɪnˈdʒɔɪ],[ɪnˈdʒɔɪ]
1260,edit,редактировать,[ˈed.ɪt],[ˈed.ɪt]
1261,skate,"конек, скат, роликовый конек, кататься на коньках",[skeɪt],[skeɪt]
1262,consider,рассматривать,[kənˈsɪdə(r)],[kənˈsɪdər]
1263,catch,поймать,[kætʃ],[kætʃ]
1264,lip,"губа, выступ, край",[lɪp],[lɪp]
1265,community,"сообщество, община, общество",[kəˈmjuːnəti],[kəˈmjuːnəti]
1266,trumpet,труба,[ˈtrʌm.pɪt],[ˈtrʌm.pɪt]
1267,lung,легкое,[lʌŋ],[lʌŋ]
1268,somewhere,"где-то, где-нибудь, куда-то",[ˈsʌmweə(r)],[ˈsʌmwer]
1269,return,возвращение,[rɪˈtɜːn],[rɪˈtɜːrn]
1270,speck,пятнышко,[spek],[spek]
1271,grandfather,Дед,[ˈɡrænfɑːðə(r)],[ˈɡrænfɑːðər]
1272,illicit,"незаконный, запрещенный, недозволенный",[ɪˈlɪs.ɪt],[ɪˈlɪs.ɪt]
1273,nuclear,ядерный,[ˈnjuːkliə(r)],[ˈnuːkliər]
1274,vivid,яркий,[ˈvɪv.ɪd],[ˈvɪv.ɪd]
1275,airborne,"бортовой, авиационный, перевозимый по воздуху, в воздухе",[ˈeə.bɔːn],[ˈer.bɔːrn]
1276,pest,"вредитель, бич, паразит",[pest],[pest]
1277,slump,спад,[slʌmp],[slʌmp]
1278,lid,крышка,[lɪd],[lɪd]
1279,hood,капот,[hʊd],[hʊd]
1280,ear,ухо,[ɪə(r)],[ɪr]
1281,package,пакет,[ˈpækɪdʒ],[ˈpækɪdʒ]
1282,waist,"талия, шкафут, сужение, Талия",[weɪst],[weɪst]
1283,circumstance,обстоятельство,[ˈsɜːkəmstəns],[ˈsɜːkəmstɑːns]
1284,snort,"фырканье, храпение, глоток спиртного",[snɔːt],[snɔːrt]
1285,market,"рынок, базар, торговля",[ˈmɑːkɪt],[ˈmɑːrkɪt]
1286,crown,"короновать, увенчать, венчать, корона",[kraʊn],[kraʊn]
1287,have,иметь,[həv],[həv]
1288,crease,"складка, сгиб, морщина",[kriːs],[kriːs]
1289,hull,"корпус, остов, каркас",[hʌl],[hʌl]
1290,yawn,зевать,[jɔːn],[jɔːn]
1291,tank,"бак, резервуар, танк",[tæŋk],[tæŋk]
1292,capture,"захват, поимка, пленение, захватить",[ˈkæptʃə(r)],[ˈkæptʃər]
1293,winter,"зима, год, зимний",[ˈwɪntə(r)],[ˈwɪntər]
1294,spirit,дух,[ˈspɪrɪt],[ˈspɪrɪt]
1295,mistress,"госпожа, любовница, возлюбленная",[ˈmɪs.trəs],[ˈmɪs.trəs]
1296,theater,"театр, кинотеатр, театральное искусство",[ˈθɪə.tər],[ˈθiː.ə.t̬ɚ]
1297,mutter,бормотать,[ˈmʌt.ər],[ˈmʌt̬.ɚ]
1298,refine,"усовершенствовать, совершенствовать, улучшать, уточнять",[rɪˈfaɪn],[rɪˈfaɪn]
1299,rise,подниматься,[raɪz],[raɪz]
1300,tease,"дразнить, раздразнить, поддразнивать",[tiːz],[tiːz]
1301,robe,халат,[rəʊb],[roʊb]
1302,symptom,"симптом, признак",[ˈsɪmp.təm],[ˈsɪmp.təm]
1303,fairy,"фея, волшебница, эльф",[ˈfeə.ri],[ˈfer.i]
1304,salad,салат,[ˈsæləd],[ˈsæləd]
1305,lucrative,"прибыльный, выгодный, доходный",[ˈluː.krə.tɪv],[-t̬ɪv]
1306,committee,"комитет, комиссия, опекун",[kəˈmɪti],[kəˈmɪti]
1307,repel,отталкивать,[rɪˈpel],[rɪˈpel]
1308,finding,"открытие, находка, обнаружение",[ˈfaɪn.dɪŋ],[ˈfaɪn.dɪŋ]
1309,entire,весь,[ɪnˈtaɪə(r)],[ɪnˈtaɪər]
1310,select,"выбирать, отбирать, подбирать, Выбрать",[sɪˈlekt],[sɪˈlekt]
1311,need,нужно,[niːd],[niːd]
1312,cab,"такси, кеб, извозчик",[kæb],[kæb]
1313,tug,буксир,[tʌɡ],[tʌɡ]
1314,player,игрок,[ˈpleɪə(r)],[ˈpleɪər]
1315,recipient,получатель,[rɪˈsɪp.i.ənt],[rɪˈsɪp.i.ənt]
1316,dress,платье,[dres],[dres]
1317,bartender,"бармен, буфетчик",[ˈbɑːˌten.dər],[ˈbɑːrˌten.dɚ]
1318,describe,описать,[dɪˈskraɪb],[dɪˈskraɪb]
1319,sentence,"приговорить, приговаривать, осуждать, приговор",[ˈsentəns],[ˈsentəns]
1320,verse,стих,[vɜːs],[vɝːs]
1321,mid,"в середине, средний, серединный, середина",[mɪd],[mɪd]
1322,hide,"скрывать, прятать, прятаться",[haɪd],[haɪd]
1323,back,"назад, обратно, вспять",[bæk],[bæk]
1324,imagine,представить,[ɪˈmædʒɪn],[ɪˈmædʒɪn]
1325,alienate,отчуждать,[ˈeɪ.li.ə.neɪt],[ˈeɪ.li.ə.neɪt]
1326,vehicle,транспортное средство,[ˈviːəkl],[ˈviːəkl]
1327,strangle,"задушить, душить, придушить",[ˈstræŋ.ɡl̩],[ˈstræŋ.ɡl̩]
1328,fortune,"состояние, фортуна, счастье, удача",[ˈfɔːtʃuːn],[ˈfɔːrtʃən]
1329,think,"думать, мыслить, считать",[θɪŋk],[θɪŋk]
1330,at,"на, в, при",[ət],[ət]
1331,graduate,"выпускник, аспирант, имеющий ученую степень",[ˈɡrædʒ.u.ət],[ˈɡrædʒ.u.ət]
1332,reel,катушка,[rɪəl],[rɪəl]
1333,motto,"девиз, лозунг, эпиграф",[ˈmɒt.əʊ],[ˈmɑː.t̬oʊ]
1334,suppose,"полагать, предполагать, допускать, предположить",[səˈpəʊz],[səˈpoʊz]
1335,scribble,"каракули, мазня, писанина",[ˈskrɪb.l̩],[ˈskrɪb.l̩]
1336,match,соответствие,[mætʃ],[mætʃ]
1337,treachery,предательство,[ˈtretʃ.ər.i],[-ɚ-]
1338,anything,что-нибудь,[ˈeniθɪŋ],[ˈeniθɪŋ]
1339,rigid,жесткий,[ˈrɪdʒ.ɪd],[ˈrɪdʒ.ɪd]
1340,hideous,отвратительный,[ˈhɪd.i.əs],[ˈhɪd.i.əs]
1341,prey,добыча,[preɪ],[preɪ]
1342,perennial,многолетнее растение,[pəˈren.i.əl],[pəˈren.i.əl]
1343,resemble,походить,[rɪˈzem.bl̩],[rɪˈzem.bl̩]
1344,consultant,консультант,[kənˈsʌl.tənt],[kənˈsʌl.tənt]
1345,hack,взломать,[hæk],[hæk]
1346,approximate,приблизительный,[əˈprɒksɪmət],[əˈprɑːksɪmət]
1347,substantive,существенный,[səbˈstæn.tɪv],[-t̬ɪv]
1348,nostril,ноздря,[ˈnɒs.trəl],[ˈnɑː.strəl]
1349,mad,без ума,[mæd],[mæd]
1350,treasure,сокровище,[ˈtreʒ.ər],[-ɚ]
1351,scaffold,строительные леса,[ˈskæf.əʊld],[-foʊld]
1352,fruitless,"бесплодный, бесполезный",[ˈfruːt.ləs],[ˈfruːt.ləs]
1353,interior,интерьер,[ɪnˈtɪəriə(r)],[ɪnˈtɪriər]
1354,meter,"метр, измеритель, счетчик",[ˈmiːtə(r)],[ˈmiːtər]
1355,them,"их, им",[ðəm],[ðəm]
1356,predecessor,"предшественник, предок",[ˈpriː.dɪˌses.ər],[ˈpred.ə.ses.ɚ]
1357,involvement,участие,[ɪnˈvɒlvmənt],[ɪnˈvɑːlvmənt]
1358,payment,"оплата, платеж, плата",[ˈpeɪmənt],[ˈpeɪmənt]
1359,wood,дерево,[wʊd],[wʊd]
1360,emergency,"аварийный, экстренный, непредвиденный, чрезвычайная ситуация",[iˈmɜːdʒənsi],[iˈmɜːrdʒənsi]
1361,injury,"травма, повреждение, ущерб, травма, повреждение",[ˈɪndʒəri],[ˈɪndʒəri]
1362,rail,"рельс, поручни, перила",[reɪl],[reɪl]
1363,creep,"ползучесть, крип, содрогание, ползать",[kriːp],[kriːp]
1364,labour,"труд, работа",[ˈleɪbə(r)],[ˈleɪbər]
1365,your,"ваш, твой",[jɔː(r)],[jʊr]
1366,census,перепись,[ˈsen.səs],[ˈsen.səs]
1367,civic,гражданский,[ˈsɪv.ɪk],[ˈsɪv.ɪk]
1368,ceiling,потолок,[ˈsiːlɪŋ],[ˈsiːlɪŋ]
1369,evolution,"эволюция, развитие, развертывание",[ˌiː.vəˈluː.ʃən],[ˌev.ə-]
1370,learn,"учиться, научиться, учить",[lɜːn],[lɜːrn]
1371,soup,"суп, похлебка, нитроглицерин",[suːp],[suːp]
1372,sister,"сестра, сестренка, монахиня",[ˈsɪstə(r)],[ˈsɪstər]
1373,friend,друг,[frend],[frend]
1374,divine,божественный,[dɪˈvaɪn],[dɪˈvaɪn]
1375,comedian,"комик, комедийный актер, актер",[kəˈmiː.di.ən],[kəˌmiː.diˈen]
1376,glide,скользить,[ɡlaɪd],[ɡlaɪd]
1377,abide,соблюдать,[əˈbaɪd],[əˈbaɪd]
1378,ashtray,пепельница,[ˈæʃ.treɪ],[ˈæʃ.treɪ]
1379,ray,"луч, скат, радиус",[reɪ],[reɪ]
1380,unit,единица измерения,[ˈjuːnɪt],[ˈjuːnɪt]
1381,consequent,последующий,[ˈkɒn.sɪ.kwənt],[ˈkɑːn-]
1382,crucial,ключевой,[ˈkruːʃl],[ˈkruːʃl]
